Listening...

CarTelemetryPacket { speed_kph: 228, throttle: 1.0, steer: -0.0012330964, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 10496, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 96, tyre_2_surface_temp: 96, tyre_3_surface_temp: 91, tyre_4_surface_temp: 92, tyre_1_inner_temp: 92, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 232, throttle: 1.0, steer: -0.0012330964, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 10664, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 95, tyre_2_surface_temp: 95, tyre_3_surface_temp: 91, tyre_4_surface_temp: 91, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 235, throttle: 1.0, steer: -0.0017438615, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 10825, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 95, tyre_2_surface_temp: 95, tyre_3_surface_temp: 90, tyre_4_surface_temp: 91, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 239, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 10983, drs: 1, rev_light_percent: 0, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 95, tyre_2_surface_temp: 95, tyre_3_surface_temp: 90, tyre_4_surface_temp: 91, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 88, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 242, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 11137, drs: 1, rev_light_percent: 17, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 94, tyre_2_surface_temp: 95, tyre_3_surface_temp: 90, tyre_4_surface_temp: 90, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 245, throttle: 1.0, steer: 0.0, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 11282, drs: 1, rev_light_percent: 33, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 94, tyre_2_surface_temp: 94, tyre_3_surface_temp: 89, tyre_4_surface_temp: 90, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 248, throttle: 1.0, steer: 0.0017438615, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 11425, drs: 1, rev_light_percent: 49, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 94, tyre_2_surface_temp: 94, tyre_3_surface_temp: 89, tyre_4_surface_temp: 90, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 89, tyre_1_pressure: 21.1, tyre_2_pressure: 21.1, tyre_3_pressure: 23.0, tyre_4_pressure: 23.0, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 249, throttle: 0.0, steer: -0.003372252, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 11356, drs: 1, rev_light_percent: 41, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 94, tyre_2_surface_temp: 94, tyre_3_surface_temp: 89, tyre_4_surface_temp: 89, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 89, tyre_1_pressure: 21.531986, tyre_2_pressure: 21.532442, tyre_3_pressure: 23.008986, tyre_4_pressure: 23.011976, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

CarTelemetryPacket { speed_kph: 247, throttle: 0.0, steer: -0.0044098496, brake: 0.0, clutch: 0, gear: 6, eng_rpm: 11263, drs: 1, rev_light_percent: 31, brake_1_temp: 39, brake_2_temp: 39, brake_3_temp: 41, brake_4_temp: 41, tyre_1_surface_temp: 93, tyre_2_surface_temp: 93, tyre_3_surface_temp: 89, tyre_4_surface_temp: 89, tyre_1_inner_temp: 93, tyre_2_inner_temp: 93, tyre_3_inner_temp: 92, tyre_4_inner_temp: 92, engine_temp: 89, tyre_1_pressure: 21.532137, tyre_2_pressure: 21.532612, tyre_3_pressure: 23.008467, tyre_4_pressure: 23.011526, tyre_1_surf_type: 0, tyre_2_surf_type: 0, tyre_3_surf_type: 0, tyre_4_surf_type: 0 }

